id,Rank,Username,Owner,Followers in millions,Profession/Activity,Country/Region,Image
1,1,@instagram,Instagram,353,Social media platform,United States,https://www.google.com/url?sa=i&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FInstagram&psig=AOvVaw0YSMMOJxG-u-SNsJ_WHU6t&ust=1648836464599000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCLDUpdD48PYCFQAAAAAdAAAAABAD
2,2,@cristiano,Cristiano Ronaldo,224,Footballer,Portugal,https://www.google.com/url?sa=i&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FCristiano_Ronaldo&psig=AOvVaw2zNK28WFtj8XSkv41U3cWD&ust=1648836479066000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCIjzmNf48PYCFQAAAAAdAAAAABAD
3,3,@arianagrande,Ariana Grande,190,Musician and actress,United States,https://www.google.com/url?sa=i&url=https%3A%2F%2Fopen.spotify.com%2Fartist%2F66CXWjxzNUsdJxJ2JdwvnR&psig=AOvVaw20y4JUjiZTI35JId8olChj&ust=1648836494798000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCNiQqd748PYCFQAAAAAdAAAAABAI
4,4,@therock,Dwayne Johnson,187,Actor and professional wrestler,United States,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.sportbible.com%2Faustralia%2Fwwe-news-dwayne-the-rock-johnson-tore-down-the-front-gates-to-his-house-20200921&psig=AOvVaw1KS79d320Zf2HY7pXvdLZQ&ust=1648836506797000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCIDxl-_48PYCFQAAAAAdAAAAABAI
5,5,@kyliejenner,Kylie Jenner,181,Television personality and businesswoman,United States,https://www.google.com/url?sa=i&url=https%3A%2F%2Fsimple.wikipedia.org%2Fwiki%2FKylie_Jenner&psig=AOvVaw1VIRFPh1yB5a2Stl-H3i9c&ust=1648836546525000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCKDXkvf48PYCFQAAAAAdAAAAABAO
6,6,@selenagomez,Selena Gomez,180,Musician and actress,United States,https://www.google.com/url?sa=i&url=https%3A%2F%2Ftime.com%2Fcollection%2F100-most-influential-people-2020%2F5888461%2Fselena-gomez%2F&psig=AOvVaw3Hr7tTCyyjqPAEuf9_cZp_&ust=1648836565270000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCOD9_ID58PYCFQAAAAAdAAAAABAD
7,7,@kimkardashian,Kim Kardashian West,175,Television personality and businesswoman,United States,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.cnn.com%2F2021%2F10%2F08%2Fentertainment%2Fkim-kardashian-west-saturday-night-live%2Findex.html&psig=AOvVaw0S5WzkOAB4-DCDnNkq7wDg&ust=1648836575814000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCMChroX58PYCFQAAAAAdAAAAABAO
8,8,@leomessi,Lionel Messi,155,Footballer,Argentina,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.pinterest.com%2Fpin%2F603552787545815218%2F&psig=AOvVaw1gfi9cAKcnSt7cyePYBlcC&ust=1648836590950000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCKivkY758PYCFQAAAAAdAAAAABAD
9,9,@beyonce,Beyoncé,148,Musician,United States,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.biography.com%2Fmusician%2Fbeyonce-knowles&psig=AOvVaw2_BzK1ECfzk0Qv5BBi4wta&ust=1648836606278000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCJjQ2pP58PYCFQAAAAAdAAAAABAI
10,10,@neymarjr,Neymar,139,Footballer,Brazil,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.pinterest.com%2Fpin%2F782922716446952378%2F&psig=AOvVaw28eN4KXcte5Z1gN7kXFPg_&ust=1648836618973000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCIjj-Jr58PYCFQAAAAAdAAAAABAD
11,11,@justinbieber,Justin Bieber,139,Musician,Canada,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.gq.com%2Fstory%2Fjustin-bieber-gq-interview&psig=AOvVaw0wSlfxMVTJiSutwYoH-59O&ust=1648836749685000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCMD4ktj58PYCFQAAAAAdAAAAABAD
12,12,@natgeo,National Geographic,138,Magazine,United States,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.nationalgeographic.com%2F&psig=AOvVaw0JNINEiBN3uqrgIr4gxfhM&ust=1648836758825000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCIDXptz58PYCFQAAAAAdAAAAABAD
13,13,@taylorswift,Taylor Swift,134,Musician,United States,https://www.google.com/url?sa=i&url=http%3A%2F%2Fwww.cmt.com%2Fnews%2F1836331%2Ftaylor-swift-removes-fearless-taylors-version-from-grammy-cma-awards-consideration%2F&psig=AOvVaw31kRZe40RhnYSjDMbP-TWQ&ust=1648836770687000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCOjXveP58PYCFQAAAAAdAAAAABAD
14,14,@kendalljenner,Kendall Jenner,131,Television personality and model,United States,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.glamour.com%2Fstory%2Fkendall-jenner-chocolate-brown-hair&psig=AOvVaw3_E6l8g2gjmlIzuDlExUj5&ust=1648836782364000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCLjDuuj58PYCFQAAAAAdAAAAABAD
15,15,@jlo,Jennifer Lopez,123,Musician and actress,United States,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.harpersbazaar.com%2Fcelebrity%2Flatest%2Fa38495679%2Fjennifer-lopez-reveals-new-pet-cat%2F&psig=AOvVaw1TxamxoigERs1IC21qtJi9&ust=1648836793034000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCJDRj-358PYCFQAAAAAdAAAAABAD
16,16,@nickiminaj,Nicki Minaj,116,Musician,Trinidad and Tobago,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.vanguardngr.com%2F2022%2F03%2Foscar-2022-what-nicki-minaj-said-about-will-smith-slapping-chris-rock%2F&psig=AOvVaw3bDCq48e4iiMvXWsBm2c3p&ust=1648836804521000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCOCCyfL58PYCFQAAAAAdAAAAABAD
17,17,@nike,Nike,114,Sportswear multinational,United States,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.nike.com%2F&psig=AOvVaw3dJWZ2g4qz6_UKV2R0EwZ6&ust=1648836814013000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCLjx1Pb58PYCFQAAAAAdAAAAABAI
18,18,@khloekardashian,Khloé Kardashian,114,Television personality and businesswoman,United States,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.nbcnews.com%2Fpop-culture%2Fpop-culture-news%2Fkhloe-kardashian-says-judgment-over-her-body-almost-unbearable-n1263436&psig=AOvVaw2I61E8ZpC5QxBmLZKCTYkG&ust=1648836826637000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCJi-mf758PYCFQAAAAAdAAAAABAD
19,19,@mileycyrus,Miley Cyrus,110,Musician and actress,United States,https://www.google.com/url?sa=i&url=https%3A%2F%2Fbrobible.com%2Fculture%2Farticle%2Fmiley-cyrus-is-actually-good-now%2F&psig=AOvVaw0CBRumKEvP8cTAMitzA2xn&ust=1648836842800000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCOCir4X68PYCFQAAAAAdAAAAABAD
20,20,@katyperry,Katy Perry,99,Musician,United States,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.biography.com%2Fmusician%2Fkaty-perry&psig=AOvVaw2d7cZbGVED1Iz-eSDzr5BU&ust=1648836889781000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCNCppJv68PYCFQAAAAAdAAAAABAD
21,21,@kourtneykardash,Kourtney Kardashian,94,Television personality,United States,https://www.google.com/url?sa=i&url=https%3A%2F%2Fmobile.twitter.com%2Fkourtneykardash&psig=AOvVaw0NihWqpIkFWxSoslX-r-r2&ust=1648836899106000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCICQwqD68PYCFQAAAAAdAAAAABAD
22,22,@kevinhart4real,Kevin Hart,93,Comedian and actor,United States,https://www.google.com/url?sa=i&url=https%3A%2F%2Fmobile.twitter.com%2Fkevinhart4real&psig=AOvVaw26DNih_qFlq1Q-nnlbVyvN&ust=1648836918753000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCMjViKn68PYCFQAAAAAdAAAAABAD
23,23,@theellenshow,Ellen DeGeneres,90,Comedian and television personality,United States,https://www.google.com/url?sa=i&url=https%3A%2F%2Fewn.co.za%2F2021%2F05%2F12%2Fus-talk-show-giant-ellen-degeneres-calls-it-quits&psig=AOvVaw055RGzfUUTu3xI7b9X7m1-&ust=1648836928654000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCKCk8q368PYCFQAAAAAdAAAAABAD
24,24,@realmadrid,Real Madrid CF,88,Football club,Spain,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.realmadrid.com%2Fen&psig=AOvVaw0baTjikAXbVzElM942qOKs&ust=1648836938555000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCJCBqLP68PYCFQAAAAAdAAAAABAD
